Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-on
Fall Fruit Cup,89,4,0.5,0.1,0,0,3.1,22.6,3.1,15.1,1,3,77,2,2,0,1,0,0,0,0,0,0,0,0,0
Peanut Butter Oat Bar,2579,1072,118.9,11.4,0,0,14.5,346.4,47.3,211,74,0,1,58,82,1,0,1,1,0,0,0,0,0,0,0
Grab-N-Go Oatmeal w/ Granola,468,89,9.8,1.8,0,0,5.1,86.8,12.1,3.1,18.8,0,0,7,32,0,1,0,1,1,0,0,0,0,0,0
Banana,117,4,0.4,0.1,0,0,1.3,29.9,3.4,16,1.4,2,19,1,2,0,1,0,0,0,0,0,0,0,0,0
Fuji Apple,59,2,0.2,0,0,0,1.1,15.6,2.7,11.8,0.3,1,9,1,1,0,1,0,0,0,0,0,0,0,0,0
Orange,45,1,0.1,0,0,0,0,11.2,2.3,8.9,0.9,4,85,4,1,0,1,0,0,0,0,0,0,0,0,0
Apple Juice,82,2,0.2,0,0,0,7.1,20,0.4,17.1,0.2,0,114,1,1,0,1,0,0,0,0,0,0,0,0,0
Brewed Coffee,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewed Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decaffeinated Coffee,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Low-Fat Milk,161,55,6.1,3.8,0.2,25.3,164.3,15.7,0,13.9,11,13,5,40,1,1,0,0,0,0,0,1,0,0,0,0
Orange Juice,111,3,0.4,0,0,0,9.5,26,0.7,20.7,1.6,8,119,2,1,0,1,0,0,0,0,0,0,0,0,0
Vanilla Soy Milk,128,37,4.1,0.5,0,0,120.8,14.9,1.4,9.4,7.7,0,0,6,8,0,1,0,0,0,1,0,0,0,0,0
Kiwi & Kale Smoothie,262,8,0.9,0.1,0,0,22.4,66.3,7,34.9,2.4,6,246,4,4,1,0,0,0,0,0,0,0,0,0,0
Peanut Butter & Oat Smoothie,417,163,18.1,2.6,0,0,75.8,59.1,9.9,21.5,13.4,7,20,7,14,0,1,1,1,0,0,0,0,0,0,0
Apple Spinach & Avocado Smoothie,219,79,8.8,1.3,0,0,63.7,36.8,7.5,25.3,3.3,118,126,8,12,0,1,0,0,0,0,0,0,0,0,0
Mixed Berry Tofu Smoothie,218,34,3.8,0.5,0,0,24.8,43.1,3.7,33.6,6.5,1,144,11,8,0,1,0,0,0,1,0,0,0,0,0
Fruit Oatmeal Crunch Parfait,397,89,9.9,1.3,0,0,169.2,69.1,10,25.3,14.7,1,105,10,25,0,1,0,1,0,1,0,0,0,0,0
Mango Blueberry & Granola Parfait,539,124,13.8,3.4,0,9.5,93.8,88.2,11.8,44.8,24.9,25,72,18,24,1,0,0,1,0,0,1,0,0,0,0
Raspberry Banana Coconut Freekeh Parfait,320,82,9.1,1,0,0,39.2,55.3,9.1,22.6,9.1,2,10,6,9,0,1,0,1,1,0,0,0,0,0,0
Fall Fruit Cup,89,4,0.5,0.1,0,0,3.1,22.6,3.1,15.1,1,3,77,2,2,0,1,0,0,0,0,0,0,0,0,0
Peanut Butter Oat Bar,2579,1072,118.9,11.4,0,0,14.5,346.4,47.3,211,74,0,1,58,82,1,0,1,1,0,0,0,0,0,0,0
Quinoa Oatmeal w/ Chia Seeds,156,29,3.2,0.5,0,0,133.2,28.6,4.8,0,6.4,0,0,3,10,0,1,0,0,0,0,0,0,0,0,0
Banana,117,4,0.4,0.1,0,0,1.3,29.9,3.4,16,1.4,2,19,1,2,0,1,0,0,0,0,0,0,0,0,0
Fuji Apple,59,2,0.2,0,0,0,1.1,15.6,2.7,11.8,0.3,1,9,1,1,0,1,0,0,0,0,0,0,0,0,0
Orange,45,1,0.1,0,0,0,0,11.2,2.3,8.9,0.9,4,85,4,1,0,1,0,0,0,0,0,0,0,0,0
Apple Juice,82,2,0.2,0,0,0,7.1,20,0.4,17.1,0.2,0,114,1,1,0,1,0,0,0,0,0,0,0,0,0
Brewed Coffee,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewed Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decaffeinated Coffee,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Low-Fat Milk,161,55,6.1,3.8,0.2,25.3,164.3,15.7,0,13.9,11,13,5,40,1,1,0,0,0,0,0,1,0,0,0,0
Orange Juice,111,3,0.4,0,0,0,9.5,26,0.7,20.7,1.6,8,119,2,1,0,1,0,0,0,0,0,0,0,0,0
Vanilla Soy Milk,128,37,4.1,0.5,0,0,120.8,14.9,1.4,9.4,7.7,0,0,6,8,0,1,0,0,0,1,0,0,0,0,0
Kiwi & Kale Smoothie,262,8,0.9,0.1,0,0,22.4,66.3,7,34.9,2.4,6,246,4,4,1,0,0,0,0,0,0,0,0,0,0
Peanut Butter & Oat Smoothie,417,163,18.1,2.6,0,0,75.8,59.1,9.9,21.5,13.4,7,20,7,14,0,1,1,1,0,0,0,0,0,0,0
Kale & Banana Smoothie,193,6,0.7,0.2,0,0,14.7,48.5,4.2,30.8,2.2,3,85,2,3,0,1,0,0,0,0,0,0,0,0,0
Tropical Tofu Smoothie,204,29,3.2,0.5,0,0,8.3,42.3,4,35.2,7,19,120,11,7,1,0,0,0,0,1,0,0,0,0,0
Chia Pudding w/ Fruit,165,77,8.5,0.8,0,0,86.7,19.6,6.5,9,4.3,6,3,10,3,1,0,0,1,1,0,0,0,0,0,0
Granola Oatmeal & Apple Parfait,555,145,16.1,3,0.1,7.8,67.7,89.8,10,40.4,17.5,4,12,20,23,1,0,0,1,1,0,1,0,0,0,0
Kiwi Strawberry Tangerine & Granola Parfait,389,141,15.7,4.4,0,7.5,109.5,49.9,9.8,15,17.3,6,201,15,13,1,0,0,1,0,0,1,1,0,0,0
Fall Fruit Cup,89,4,0.5,0.1,0,0,3.1,22.6,3.1,15.1,1,3,77,2,2,0,1,0,0,0,0,0,0,0,0,0
Peanut Butter Oat Bar,2579,1072,118.9,11.4,0,0,14.5,346.4,47.3,211,74,0,1,58,82,1,0,1,1,0,0,0,0,0,0,0
Grab-N-Go Oatmeal w/ Granola,468,89,9.8,1.8,0,0,5.1,86.8,12.1,3.1,18.8,0,0,7,32,0,1,0,1,1,0,0,0,0,0,0
Banana,117,4,0.4,0.1,0,0,1.3,29.9,3.4,16,1.4,2,19,1,2,0,1,0,0,0,0,0,0,0,0,0
Fuji Apple,59,2,0.2,0,0,0,1.1,15.6,2.7,11.8,0.3,1,9,1,1,0,1,0,0,0,0,0,0,0,0,0
Orange,45,1,0.1,0,0,0,0,11.2,2.3,8.9,0.9,4,85,4,1,0,1,0,0,0,0,0,0,0,0,0
Apple Juice,82,2,0.2,0,0,0,7.1,20,0.4,17.1,0.2,0,114,1,1,0,1,0,0,0,0,0,0,0,0,0
Brewed Coffee,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewed Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decaffeinated Coffee,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Low-Fat Milk,161,55,6.1,3.8,0.2,25.3,164.3,15.7,0,13.9,11,13,5,40,1,1,0,0,0,0,0,1,0,0,0,0
Orange Juice,111,3,0.4,0,0,0,9.5,26,0.7,20.7,1.6,8,119,2,1,0,1,0,0,0,0,0,0,0,0,0
Vanilla Soy Milk,128,37,4.1,0.5,0,0,120.8,14.9,1.4,9.4,7.7,0,0,6,8,0,1,0,0,0,1,0,0,0,0,0
